epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,12.042235100269318,0.6635220125786163,0.666353693887743,0.6635220125786163,0.6635474420549048,34.57131500244141,0.49375,0.7813527180783818,0.49375,0.4307572134544875
2,6.206579732894897,0.7767295597484277,0.7781736589340541,0.7767295597484277,0.7769444760388231,3.3892716646194456,0.8125,0.8543551587301587,0.8125,0.8106811675379637
3,3.1594405263662337,0.8034591194968553,0.8035476254857189,0.8034591194968554,0.8034910951172698,0.8491639494895935,0.8375,0.8395803207043927,0.8375,0.8355595082179981
4,2.1964846163988114,0.7704402515723271,0.7707601045844146,0.770440251572327,0.7705672406314291,0.5106564313173294,0.86875,0.8735634111779977,0.8687499999999999,0.8667097122110216
5,0.7286406077444554,0.860062893081761,0.860033326093351,0.860062893081761,0.8590919551682907,0.4239536613225937,0.8375,0.8550101858925389,0.8374999999999999,0.8366290572172925
6,0.6604421693831682,0.8616352201257862,0.865779709658067,0.8616352201257862,0.8615594119870401,0.3625845044851303,0.85,0.8549377197687585,0.8500000000000001,0.8494513540770899
7,0.6056705888360738,0.8537735849056604,0.857672042248097,0.8537735849056602,0.8536776637811067,0.305011385679245,0.84375,0.8478778467908903,0.84375,0.8435439149619524
8,0.3948109358549118,0.889937106918239,0.8915147392948891,0.8899371069182391,0.8901485269636478,0.2669756174087524,0.9,0.901959168942033,0.8999999999999999,0.9005349538367687
9,0.38732328452169895,0.89937106918239,0.8993299677048145,0.89937106918239,0.8992332539294503,0.26381716132164,0.89375,0.8970279720279721,0.89375,0.8937939399285494
10,0.4448085520416498,0.8852201257861635,0.8852372564026338,0.8852201257861636,0.8849399804613535,0.26664015352725984,0.9,0.9066100253522031,0.8999999999999999,0.9005332263734708
11,0.4056626338511705,0.9056603773584906,0.9069528100086549,0.9056603773584906,0.9058778984813958,0.2621994987130165,0.9,0.9038461538461537,0.8999999999999999,0.9005858839205235
12,0.3470485005527735,0.9119496855345912,0.9123902216984423,0.9119496855345912,0.9120668021159678,0.2599238738417625,0.90625,0.9114030896639593,0.90625,0.9068128741046021
13,0.4284769516438246,0.8977987421383647,0.8979571149612567,0.8977987421383649,0.8974550332401825,0.2637863889336586,0.9,0.9038461538461537,0.8999999999999999,0.9005858839205235
14,0.3703980091959238,0.9040880503144654,0.9045114909034395,0.9040880503144655,0.9041519929284699,0.2593498542904854,0.9125,0.9192821154648438,0.9125000000000001,0.9130371095670092
15,0.33553067445755,0.8962264150943396,0.8962727587115724,0.8962264150943396,0.896056771932469,0.2521574065089226,0.9,0.9066100253522031,0.8999999999999999,0.9005332263734708
16,0.336145081743598,0.9088050314465409,0.9103752219670979,0.9088050314465409,0.9092726394689928,0.25369392782449723,0.9,0.9038461538461537,0.8999999999999999,0.9005858839205235
17,0.29808714166283606,0.9009433962264151,0.9014428472761806,0.9009433962264151,0.9009940129099008,0.2592414364218712,0.9,0.9038461538461537,0.8999999999999999,0.9005858839205235
18,0.4129145223647356,0.9009433962264151,0.9003092552989755,0.9009433962264151,0.900514224880648,0.25724162459373473,0.90625,0.9090160965160965,0.90625,0.9067962628089211
19,0.3906749486923218,0.910377358490566,0.911214233760749,0.9103773584905661,0.9106502120382246,0.25322957783937455,0.90625,0.9114030896639593,0.90625,0.9068128741046021
20,0.3018966097384691,0.9198113207547169,0.9203033996060169,0.9198113207547169,0.9195003299444675,0.25812264531850815,0.90625,0.9114030896639593,0.90625,0.9068128741046021
21,0.35786084458231926,0.8977987421383647,0.8975912559118173,0.8977987421383649,0.8975678418177393,0.2565675854682922,0.9,0.9038461538461537,0.8999999999999999,0.9005858839205235
22,0.3798068329691887,0.9009433962264151,0.9007103764928781,0.9009433962264151,0.900706861318352,0.25594602078199385,0.9,0.9066100253522031,0.8999999999999999,0.9005332263734708
23,0.36385898776352404,0.9119496855345912,0.9124707529615506,0.9119496855345912,0.911831221310234,0.2635261625051498,0.90625,0.9114030896639593,0.90625,0.9068128741046021
24,0.3404662232846022,0.9245283018867925,0.9247653381603291,0.9245283018867925,0.9243298719240398,0.25910150110721586,0.90625,0.9090160965160965,0.90625,0.9067962628089211
25,0.31284569427371023,0.9056603773584906,0.9052228536693262,0.9056603773584906,0.9049828581323369,0.25942283868789673,0.90625,0.9090160965160965,0.90625,0.9067962628089211
26,0.4167152035981417,0.9025157232704403,0.9028138911268994,0.9025157232704402,0.9022849998088323,0.2521915271878242,0.9,0.9038461538461537,0.8999999999999999,0.9005858839205235
27,0.3281524069607258,0.9040880503144654,0.9031825485046777,0.9040880503144655,0.9032923387739006,0.2535009667277336,0.9,0.9038461538461537,0.8999999999999999,0.9005858839205235
28,0.2978189967572689,0.9166666666666666,0.9167930990834336,0.9166666666666667,0.9166153625955632,0.2567134439945221,0.9,0.9038461538461537,0.8999999999999999,0.9005858839205235
29,0.32146367318928243,0.910377358490566,0.911337781304175,0.9103773584905661,0.9104407840994981,0.2583327114582062,0.9,0.9038461538461537,0.8999999999999999,0.9005858839205235
30,0.2991131816059351,0.9119496855345912,0.9123666475116999,0.9119496855345912,0.9119374819200684,0.2578111723065376,0.9125,0.9192821154648438,0.9125000000000001,0.9130371095670092
